,(528.1790358684316, 332.03369021915614),14,0,132
,(533.0305144998116, 333.2432996971545),14,0,137
,(537.8819931311915, 334.45290917515285),14,0,142
,(542.7334717625715, 335.6625186531512),14,0,147
,(547.5849503939515, 336.8721281311495),14,0,152
,(552.4364290253314, 338.08173760914786),14,0,157
,(557.2879076567115, 339.29134708714616),14,0,162
,(562.1393862880915, 340.5009565651445),14,0,167
,(566.9908649194714, 341.7105660431429),14,0,172
,(571.8423435508514, 342.92017552114123),14,0,177
,(576.6938221822314, 344.12978499913953),14,0,182
,(581.5453008136113, 345.3393944771379),14,0,187
,(586.3967794449914, 346.54900395513624),14,0,192
,(591.2482580763714, 347.75861343313454),14,0,197
,(596.0997367077513, 348.9682229111329),14,0,202
,(600.9512153391313, 350.17783238913125),14,0,207
,(605.8026939705113, 351.3874418671296),14,0,212
,(610.6541726018912, 352.5970513451279),14,0,217
,(615.5056512332712, 353.80666082312626),14,0,222
,(620.3571298646513, 355.0162703011246),14,0,227
,(625.2086084960312, 356.2258797791229),14,0,232
,(630.0600871274112, 357.4354892571213),14,0,237
,(634.9115657587912, 358.64509873511963),14,0,242
,(639.7630443901711, 359.85470821311793),14,0,247
,(644.6145230215511, 361.0643176911163),14,0,252
,(649.4660016529311, 362.27392716911464),14,0,257
,(654.317480284311, 363.48353664711294),14,0,262
,(659.1689589156911, 364.6931461251113),14,0,267
,(661.109550368243, 365.1769899163106),14,1,269
,(663.0501418207951, 365.66083370751),14,1,271
,(664.990733273347, 366.1446774987093),14,1,273
,(666.9313247258991, 366.62852128990863),14,1,275
,(668.871916178451, 367.112365081108),14,1,277
,(670.8125076310031, 367.59620887230733),14,1,279
